DATE,RAINFALL
4/1/1926,0
5/1/1926,1.5
6/1/1926,306.1
7/1/1926,1203.6
8/1/1926,1149.6
9/1/1926,432.9
10/1/1926,39.2
11/1/1926,1.1
12/1/1926,0
1/1/1927,0
2/1/1927,0.2
3/1/1927,0.2
4/1/1927,0
5/1/1927,5.5
6/1/1927,785.6
7/1/1927,1030.3
8/1/1927,416.6
9/1/1927,240.9
10/1/1927,178.8
11/1/1927,87.3
12/1/1927,1.6
1/1/1928,0
2/1/1928,1.3
3/1/1928,0.2
4/1/1928,3.1
5/1/1928,1.1
6/1/1928,657
7/1/1928,1159.4
8/1/1928,939.9
9/1/1928,264.5
10/1/1928,137.9
11/1/1928,7.7
12/1/1928,0.4
1/1/1929,1
2/1/1929,0
3/1/1929,3.2
4/1/1929,14.9
5/1/1929,6.2
6/1/1929,773.8
7/1/1929,767.6
8/1/1929,516
9/1/1929,250.9
10/1/1929,152.4
11/1/1929,11.2
12/1/1929,12.1
1/1/1930,0
2/1/1930,0.2
3/1/1930,0.1
4/1/1930,0.3
5/1/1930,12.5
6/1/1930,1024.9
7/1/1930,690.5
8/1/1930,427.3
9/1/1930,542.6
10/1/1930,136.2
11/1/1930,10.6
12/1/1930,0.6
1/1/1931,0
2/1/1931,0
3/1/1931,0.1
4/1/1931,1.7
5/1/1931,1.8
6/1/1931,344.9
7/1/1931,1867.2
8/1/1931,944.9
9/1/1931,307.1
10/1/1931,458.9
11/1/1931,51.5
12/1/1931,21.2
1/1/1932,0.5
2/1/1932,0
3/1/1932,0
4/1/1932,2.9
5/1/1932,45.9
6/1/1932,435.3
7/1/1932,1248.1
8/1/1932,485.6
9/1/1932,456.2
10/1/1932,259.1
11/1/1932,21.1
12/1/1932,8.2
1/1/1933,0
2/1/1933,0.1
3/1/1933,1.6
4/1/1933,15.3
5/1/1933,129.2
6/1/1933,816.5
7/1/1933,909
8/1/1933,758.6
9/1/1933,485.8
10/1/1933,179.7
11/1/1933,19.2
12/1/1933,28.4
1/1/1934,0.7
2/1/1934,0
3/1/1934,0.3
4/1/1934,2.7
5/1/1934,0.7
6/1/1934,1060.2
7/1/1934,893
8/1/1934,870.7
9/1/1934,329.7
10/1/1934,60.3
11/1/1934,53.5
12/1/1934,0.5
1/1/1935,0.2
2/1/1935,0.1
3/1/1935,0
4/1/1935,0
5/1/1935,0
6/1/1935,700.3
7/1/1935,879.9
8/1/1935,466.5
9/1/1935,419.7
10/1/1935,64.3
11/1/1935,11
12/1/1935,0.6
1/1/1936,0
2/1/1936,0
3/1/1936,0.1
4/1/1936,0.3
5/1/1936,23.2
6/1/1936,993.2
7/1/1936,712.9
8/1/1936,534.9
9/1/1936,376.2
10/1/1936,62.1
11/1/1936,79.1
12/1/1936,1.3
1/1/1937,0
2/1/1937,4
3/1/1937,0.1
4/1/1937,53.5
5/1/1937,2.4
6/1/1937,826.9
7/1/1937,1492.9
8/1/1937,270.1
9/1/1937,378.1
10/1/1937,159.2
11/1/1937,4
12/1/1937,0.7
1/1/1938,0
2/1/1938,0.4
3/1/1938,4
4/1/1938,2.1
5/1/1938,55.2
6/1/1938,1118.1
7/1/1938,908.2
8/1/1938,634.8
9/1/1938,345.6
10/1/1938,400
11/1/1938,27
12/1/1938,0.1
1/1/1939,0.2
2/1/1939,0
3/1/1939,0.4
4/1/1939,5.8
5/1/1939,0.1
6/1/1939,509.6
7/1/1939,1116.8
8/1/1939,817.1
9/1/1939,227.9
10/1/1939,58
11/1/1939,22.7
12/1/1939,0
1/1/1940,4.8
2/1/1940,6.1
3/1/1940,2.8
4/1/1940,1.9
5/1/1940,7.9
6/1/1940,668.3
7/1/1940,1105.9
8/1/1940,987.1
9/1/1940,328.9
10/1/1940,172.7
11/1/1940,26.7
12/1/1940,0.6
1/1/1941,17.1
2/1/1941,0.2
3/1/1941,0.1
4/1/1941,1
5/1/1941,5.1
6/1/1941,602.7
7/1/1941,718
8/1/1941,282
9/1/1941,194.6
10/1/1941,61.4
11/1/1941,0.2
12/1/1941,7.3
1/1/1942,0
2/1/1942,0
3/1/1942,0
4/1/1942,3.3
5/1/1942,2.6
6/1/1942,987.6
7/1/1942,1386.3
8/1/1942,536.7
9/1/1942,312
10/1/1942,37.1
11/1/1942,1.4
12/1/1942,12.4
1/1/1943,3.6
2/1/1943,0
3/1/1943,0.1
4/1/1943,0
5/1/1943,200
6/1/1943,788
7/1/1943,1313.1
8/1/1943,281.8
9/1/1943,468.4
10/1/1943,168.4
11/1/1943,27.8
12/1/1943,0
1/1/1944,0.1
2/1/1944,0
3/1/1944,0.7
4/1/1944,0
5/1/1944,17.5
6/1/1944,542.5
7/1/1944,1456
8/1/1944,658.6
9/1/1944,85.7
10/1/1944,177
11/1/1944,14.1
12/1/1944,0
1/1/1945,8.8
2/1/1945,0
3/1/1945,0
4/1/1945,0.9
5/1/1945,1.1
6/1/1945,733.2
7/1/1945,1394.2
8/1/1945,709.4
9/1/1945,348.4
10/1/1945,44.9
11/1/1945,3.6
12/1/1945,0
1/1/1946,0
2/1/1946,0
3/1/1946,0
4/1/1946,14.4
5/1/1946,30
6/1/1946,787.9
7/1/1946,1085.7
8/1/1946,878.9
9/1/1946,334
10/1/1946,47.3
11/1/1946,170.4
12/1/1946,10.4
1/1/1947,4.9
2/1/1947,0
3/1/1947,5.8
4/1/1947,67.3
5/1/1947,7.5
6/1/1947,398.3
7/1/1947,1133.9
8/1/1947,919.2
9/1/1947,497.5
10/1/1947,50.8
11/1/1947,2
12/1/1947,2.9
1/1/1948,10.5
2/1/1948,0
3/1/1948,0.2
4/1/1948,2.3
5/1/1948,7.2
6/1/1948,599.3
7/1/1948,1080.4
8/1/1948,797.3
9/1/1948,376.6
10/1/1948,77.7
11/1/1948,168.1
12/1/1948,0
1/1/1949,0.2
2/1/1949,0
3/1/1949,0.1
4/1/1949,1.3
5/1/1949,128.9
6/1/1949,442.2
7/1/1949,1147.3
8/1/1949,594.7
9/1/1949,782.3
10/1/1949,108.3
11/1/1949,8.4
12/1/1949,0
1/1/1950,0
2/1/1950,0
3/1/1950,0.2
4/1/1950,0.2
5/1/1950,21.3
6/1/1950,364.1
7/1/1950,1336.1
8/1/1950,302.6
9/1/1950,777.5
10/1/1950,119.1
11/1/1950,8.1
12/1/1950,0
1/1/1951,0
2/1/1951,0
3/1/1951,2.5
4/1/1951,9.8
5/1/1951,22.7
6/1/1951,730.4
7/1/1951,1114.7
8/1/1951,507.6
9/1/1951,129
10/1/1951,296.3
11/1/1951,36.3
12/1/1951,0
1/1/1952,0
2/1/1952,0
3/1/1952,0
4/1/1952,2.8
5/1/1952,23.5
6/1/1952,729.4
7/1/1952,1013.1
8/1/1952,512.3
9/1/1952,87.5
10/1/1952,151.5
11/1/1952,0
12/1/1952,1.8
1/1/1953,0
2/1/1953,0
3/1/1953,0
4/1/1953,15.4
5/1/1953,0
6/1/1953,910.3
7/1/1953,1321.9
8/1/1953,713.3
9/1/1953,210.5
10/1/1953,156.1
11/1/1953,0.2
12/1/1953,0
1/1/1954,0
2/1/1954,2.4
3/1/1954,3.5
4/1/1954,7.2
5/1/1954,3.9
6/1/1954,581.5
7/1/1954,1470.8
8/1/1954,912.8
9/1/1954,750.7
10/1/1954,48.9
11/1/1954,0.1
12/1/1954,8.6
1/1/1955,0.2
2/1/1955,0
3/1/1955,2.2
4/1/1955,11.6
5/1/1955,34.2
6/1/1955,779.2
7/1/1955,995.9
8/1/1955,1299.8
9/1/1955,463
10/1/1955,297.1
11/1/1955,14.2
12/1/1955,0
1/1/1956,0
2/1/1956,0.3
3/1/1956,0
4/1/1956,5.8
5/1/1956,176.4
